Site        X          Y        Z        Latitude      Longitude    Height    Rec. Type    Ant.Type
      ITRF96(m)   ITRF96(m)   ITRF96(m)   WGS84(deg.)   WGS84(deg.)  WGS84(m)
A4 1X F14.2 F14.2 F14.2 F14.7 F14.7 F14.2 2X A7 2X A7
ade1    -3939182.13    3467075.38   -3613220.82   -34.7293051   138.6473450         38.16  ASHTECH  ASH7009
ade2    -3939182.13    3467075.38   -3613220.82   -34.7293051   138.6473450         38.16  ASHTECH  ASH7009
adis     4913652.81    3945922.64     995383.29     9.0352817    38.7663035       2439.16  JPS LEG  TRM2965
adks     -539282.04   -5513498.27    3150287.36    29.7912434   -95.5864007          4.08  TRIMBLE  TRM4124
adri      494838.88   -4727341.52    4239050.41    41.9193145   -84.0242729        207.11  LEICA G  LEIAT50
agmt    -2339956.48   -4707748.85    3601665.93    34.5946576  -116.4293800       1337.85  TRIMBLE  ASH7019
ahid    -1685815.51   -4377138.76    4310376.08    42.7735598  -111.0637400       1975.54  TRIMBLE  TRM2965
aira    -3530185.56    4118797.31    3344036.91    31.8243678   130.5995934        314.65  TRIMBLE  TRM2965
ajac     4696989.71     723994.20    4239678.33    41.9277814     8.7626109         98.81  LEICA G  LEIAT50
alac     5009051.40     -42072.47    3935057.50    38.3392354    -0.4812325         60.36  TRIMBLE  TRM2965
alam    -2158287.50   -4595239.56    3849706.74    37.3583334  -115.1584582       1090.02  TRIMBLE  TRM2965
albh    -2341332.88   -3539049.51    4745791.36    48.3901039  -123.4874697         31.75  AOA BEN  AOAD/M_
algo      918129.40   -4346071.20    4561977.80    45.9561349   -78.0713676        200.83  AOA BEN  AOAD/M_
alic    -4052051.77    4212836.22   -2545105.03   -23.6703804   133.8855132        602.96  LEICA G  AOAD/M_
allg      960973.37   -4822646.75    4048582.23    39.6541858   -78.7306955        175.76  TRIMBLE  TRM2390
alme     5105220.29    -219278.80    3804386.89    36.8528487    -2.4594497        127.52  TRIMBLE  TRM2965
alon     4470256.49    3084588.40    3332952.02    31.7082322    34.6066431         53.45  LEICA G  LEIAT50
