hmax        =    300
wind_bottom =      2
wind_top    =     10
critlon     =      0
tbeg, h     =   0.00
tend, h     =  24.00
c_ionex     =      0
c_vert      =      1
time, gamma, az, latp, lonp, tec, tec_filtered
  2.6250   50.73300   83.05200   47.2409  145.7534    6.76400    0.03365
  2.6333   50.53800   83.25000   47.2349  145.7749    6.82400    0.03705
  2.6417   50.34400   83.44600   47.2288  145.7963    6.90300    0.03004
  2.6500   50.15000   83.64300   47.2226  145.8178    6.98200    0.02159
  2.6583   49.95500   83.83900   47.2163  145.8395    7.03500    0.02197
  2.6667   49.76100   84.03400   47.2100  145.8611    7.14400    0.02630
  2.6750   49.56600   84.22400   47.2038  145.8829    7.23000    0.03340
  2.6833   49.37200   84.41500   47.1974  145.9047    7.28900    0.02733
  2.6917   49.17700   84.60400   47.1910  145.9267    7.34500    0.01444
  2.7000   48.98300   84.79400   47.1845  145.9487    7.40300    0.00174
  2.7083   48.78900   84.98300   47.1779  145.9707    7.45700   -0.00724
  2.7167   48.59500   85.17200   47.1712  145.9928    7.52200   -0.00873
  2.7250   48.40100   85.36000   47.1645  146.0149    7.60600   -0.01159
  2.7333   48.20700   85.54800   47.1576  146.0372    7.65600   -0.01078
  2.7417   48.01300   85.73500   47.1507  146.0595    7.73900   -0.01532
  2.7500   47.81900   85.92300   47.1437  146.0819    7.80200   -0.00524
  2.7583   47.62600   86.10900   47.1366  146.1043    7.90800    0.00048
  2.7667   47.43200   86.29600   47.1294  146.1269    7.97200    0.00308
  2.7750   47.23900   86.48200   47.1221  146.1495    8.02700   -0.00657
  2.7833   47.04600   86.66800   47.1147  146.1721    8.09000   -0.02221
  2.7917   46.85300   86.85300   47.1073  146.1948    8.13700   -0.02879
  2.8000   46.66000   87.03800   47.0998  146.2176    8.23200   -0.02680
  2.8083   46.46700   87.22300   47.0921  146.2405    8.33300   -0.01579
  2.8167   46.27400   87.40700   47.0844  146.2635    8.42100   -0.01863
  2.8250   46.08200   87.59100   47.0766  146.2864    8.46900   -0.02598
  2.8333   45.88900   87.77400   47.0687  146.3096    8.56100   -0.03830
  2.8417   45.69600   87.95400   47.0609  146.3328    8.63500   -0.03558
  2.8500   45.50400   88.13300   47.0529  146.3560    8.74900   -0.03711
  2.8583   45.31100   88.31200   47.0449  146.3794    8.83300   -0.03585
  2.8667   45.11800   88.49000   47.0368  146.4030    8.93300   -0.04750
  2.8750   44.92600   88.66800   47.0287  146.4264    9.01100   -0.05762
  2.8833   44.73400   88.84600   47.0204  146.4500    9.11400   -0.06701
  2.8917   44.54100   89.02400   47.0120  146.4738    9.22700   -0.05966
  2.9000   44.34900   89.20200   47.0034  146.4976    9.38200   -0.05631
  2.9083   44.15700   89.37900   46.9949  146.5215    9.48300   -0.05716
  2.9167   43.96500   89.55600   46.9862  146.5454    9.59500   -0.06916
  2.9250   43.77400   89.73200   46.9774  146.5694    9.72400   -0.07133
  2.9333   43.58200   89.90800   46.9686  146.5936    9.88100   -0.06176
  2.9417   43.39000   90.08400   46.9596  146.6178   10.05700   -0.05190
  2.9500   43.19900   90.26000   46.9505  146.6421   10.20100   -0.05204
  2.9583   43.00800   90.43500   46.9413  146.6664   10.33300   -0.05971
  2.9667   42.81600   90.61000   46.9321  146.6910   10.49500   -0.06946
  2.9750   42.62500   90.78500   46.9227  146.7155   10.65000   -0.06915
  2.9833   42.43400   90.96000   46.9132  146.7402   10.84100   -0.06628
  2.9917   42.24300   91.13400   46.9036  146.7649   11.03100   -0.05358
  3.0000   42.05300   91.30800   46.8939  146.7897   11.24600   -0.05177
  3.0083   41.86200   91.47800   46.8843  146.8147   11.41600   -0.05820
